index,Algorithm,keypair,keypaircycles,sign,signcycles,verify,verifycycles
0,Dilithium2,2983.0,335103,1052.32,950015,3191.0,313226
1,Dilithium3,1748.75,571576,683.65,1462359,1932.67,517307
2,Dilithium5,1074.67,930469,527.81,1894140,1120.67,892224
3,Dilithium2-AES,1238.92,806892,313.23,3192189,1188.33,841468
4,Dilithium3-AES,726.42,1376432,192.88,5184709,719.33,1390201
5,Dilithium5-AES,440.19,2271840,155.61,6426936,428.38,2334009
6,Falcon-512,15.36,65107374,59.68,16755824,3226.0,309845
7,Falcon-1024,5.17,193476944,27.35,36569831,1594.0,627203
8,Rainbow-III-Classic,0.12,8157446656,13.75,72742260,13.24,75551974
9,Rainbow-III-Circumzenithal,0.11,9290180864,13.75,72736250,10.25,97508484
10,Rainbow-III-Compressed,0.11,9294022144,0.23,4328519680,10.26,97432667
11,Rainbow-V-Classic,0.04,22926747136,6.22,160827944,6.07,164711451
12,Rainbow-V-Circumzenithal,0.04,26350442240,6.22,160841741,4.67,214013525
13,Rainbow-V-Compressed,0.04,26348439040,0.08,12462056960,4.68,213855983
14,SPHINCS+-Haraka-128f-robust,53.05,18850336,2.11,473648165,33.98,29435761
15,SPHINCS+-Haraka-128f-simple,91.27,10954918,3.62,276186461,58.67,17045657
16,SPHINCS+-Haraka-128s-robust,0.8300000000000001,1200103595,0.11,9396363520,94.6,10570903
17,SPHINCS+-Haraka-128s-simple,1.44,692776294,0.18,5487195904,159.95,6251327
18,SPHINCS+-Haraka-192f-robust,35.93,27836632,1.23,810008512,22.83,43803622
19,SPHINCS+-Haraka-192f-simple,62.11,16099156,2.14,467781632,41.21,24267627
20,SPHINCS+-Haraka-192s-robust,0.56,1777575808,0.06,17844302592,59.23,16881362
21,SPHINCS+-Haraka-192s-simple,0.98,1022706261,0.1,10245391616,111.7,8951964
22,SPHINCS+-Haraka-256f-robust,13.5,74068567,0.6000000000000001,1679725824,21.49,46544250
23,SPHINCS+-Haraka-256f-simple,23.42,42695197,1.02,981702656,37.27,26827195
24,SPHINCS+-Haraka-256s-robust,0.84,1185433088,0.06,17236858368,39.84,25103866
25,SPHINCS+-Haraka-256s-simple,1.47,681576704,0.1,10210847488,70.46,14193348
26,SPHINCS+-SHA256-128f-robust,51.13,19560724,2.09,479149349,36.07,27725521
27,SPHINCS+-SHA256-128f-simple,93.42,10703676,3.7800000000000002,264714752,65.87,15180738
28,SPHINCS+-SHA256-128s-robust,0.8200000000000001,1217818539,0.11,9140347904,106.05,9429211
29,SPHINCS+-SHA256-128s-simple,1.5,665524173,0.2,5098975488,191.27,5226778
30,SPHINCS+-SHA256-192f-robust,33.43,29909910,1.22,816708480,22.79,43863211
31,SPHINCS+-SHA256-192f-simple,64.83,15426590,2.34,426907840,46.75,21386948
32,SPHINCS+-SHA256-192s-robust,0.55,1807519744,0.06,16483086848,65.12,15357110
33,SPHINCS+-SHA256-192s-simple,1.04,960761216,0.11,8814530048,133.07,7514726
34,SPHINCS+-SHA256-256f-robust,11.58,86353042,0.56,1792094208,19.35,51681744
35,SPHINCS+-SHA256-256f-simple,24.39,40996449,1.16,858752896,44.59,22427218
36,SPHINCS+-SHA256-256s-robust,0.72,1385201067,0.06,16798834688,40.05,24967466
37,SPHINCS+-SHA256-256s-simple,1.56,640389632,0.13,7869475072,89.58,11163460
38,SPHINCS+-SHAKE256-128f-robust,38.58,25922778,1.57,636641741,27.06,36950697
39,SPHINCS+-SHAKE256-128f-simple,73.4,13625327,2.9699999999999998,336738844,53.26,18772293
40,SPHINCS+-SHAKE256-128s-robust,0.61,1652214528,0.08,12427125248,75.7,13207647
41,SPHINCS+-SHAKE256-128s-simple,1.15,869756544,0.15,6602010624,155.84,6416187
42,SPHINCS+-SHAKE256-192f-robust,29.15,34306752,1.09,916202432,20.54,48694867
43,SPHINCS+-SHAKE256-192f-simple,54.17,18460908,1.98,505216128,38.46,25999062
44,SPHINCS+-SHAKE256-192s-robust,0.41000000000000003,2418194048,0.05,21123459584,55.33,18071717
45,SPHINCS+-SHAKE256-192s-simple,0.78,1274584917,0.09,11422712832,103.49,9661954
46,SPHINCS+-SHAKE256-256f-robust,10.06,99363320,0.5,2009149312,18.18,55018124
47,SPHINCS+-SHAKE256-256f-simple,19.07,52452233,0.91,1097840128,34.76,28770148
48,SPHINCS+-SHAKE256-256s-robust,0.63,1588306816,0.06,18120580608,36.46,27428773
49,SPHINCS+-SHAKE256-256s-simple,1.2,832819904,0.1,9930860032,73.73,13560479
50,picnic_L1_FS,15912.67,62693,72.05,13880965,86.71,11533243
51,picnic_L1_UR,15966.67,62481,53.98,18524169,69.57,14370284
52,picnic_L1_full,17040.67,58537,80.48,12425575,106.75,9366307
53,picnic_L3_FS,11522.67,86638,25.21,39670067,28.46,35143540
54,picnic_L3_UR,11539.67,86508,19.83,50438080,23.02,43447263
55,picnic_L3_full,15902.67,62733,44.7,22370712,52.67,18985646
56,picnic_L5_FS,10136.0,98509,14.65,68242583,16.43,60869233
57,picnic_L5_UR,10138.0,98493,12.29,81370818,14.03,71252569
58,picnic_L5_full,14946.67,66756,26.11,38300656,31.88,31362931
59,picnic3_L1,17109.0,58302,19.33,51727047,25.19,39692985
60,picnic3_L3,15946.67,62560,9.06,110443785,11.88,84203271
61,picnic3_L5,14941.0,66783,5.48,182561175,7.51,133099687